title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
Mercedes-Benz M Class,132000,2004,0,Petrol,SUV,3.7L,Automatic,5,5,Euro 3,2495
Peugeot 308,79000,2010,0,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,3495
Audi A4,89000,2008,4,Petrol,Saloon,1.8L,Manual,4,5,Euro 4,3995
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Peugeot 308 SW,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,9600
Ford S-max,103900,2009,4,Diesel,MPV,2.0L,Manual,5,7,Euro 4,1839
Volkswagen Polo,102000,2010,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,2595
Honda Civic,95000,2011,7,Petrol,Hatchback,1.4L,Automatic,3,5,Euro 5,4700
Peugeot 1007,36600,2007,0,Petrol,Hatchback,1.6L,Automatic,3,4,Euro 4,2490
Honda Odyssey,88240,2012,0,Petrol,MPV,2.4L,Automatic,5,7,null,2449
Vauxhall Corsa,130000,2006,1,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,990
Peugeot 307 CC,70345,2008,5,Petrol,Convertible,1.6L,Manual,2,4,Euro 4,1950
Citroen C1,97000,2011,3,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,1390
Hyundai i20,112000,2010,2,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,3495
Nissan Micra,49000,2004,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 3,1490
SEAT Ibiza,99061,2011,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,2799
Honda Civic,78691,2018,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9198
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Ford Focus,89000,2010,6,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,2350
Honda Jazz,171000,2007,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1399
MINI Hatch,125000,2005,0,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,1189
BMW 5 Series,115000,2011,0,Diesel,Saloon,2.0L,Manual,4,5,Euro 5,3889
BMW 3 Series,99000,2007,1,Petrol,Saloon,3.0L,Manual,4,5,Euro 4,2599
Vauxhall Corsa,71000,2011,3,Petrol,Hatchback,1.0L,Manual,3,5,Euro 5,2795
Mercedes-Benz CLK,70000,2009,0,Petrol,Coupe,2.0L,Automatic,2,5,null,3995
Ford Fiesta,97500,2009,0,Petrol,Hatchback,1.3L,Manual,3,5,Euro 4,2699
Vauxhall Corsa,36000,2014,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,3999
Citroen DS4,97385,2013,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,2700
Peugeot 207,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,999
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
KIA RIO,66800,2013,1,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,3250
BMW 3 SERIES,98979,2003,0,Petrol,Coupe,2.5L,Automatic,2,5,Euro 3,2898
Volkswagen Golf,98207,2007,4,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,2950
Vauxhall Corsa,60000,2006,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1749
Ford Focus,101591,2010,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2495
Mazda Mazda3,68000,2011,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,3799
Toyota Yaris,164470,2006,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,1100
Vauxhall Corsa,86000,2011,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2490
Hyundai i30,90000,2010,0,Petrol,Estate,1.6L,Automatic,5,5,Euro 4,3250
Volkswagen Polo,123000,2010,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3000
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Ford Fiesta,67361,2009,1,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,2995
Mitsubishi Outlander,116000,2009,3,Petrol,SUV,2.4L,Automatic,5,7,Euro 4,4495
Volkswagen Scirocco,99000,2010,3,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,3750
Ford Fiesta,80997,2009,0,Petrol,Hatchback,1.3L,Manual,3,5,Euro 4,2945
Volkswagen Passat,100000,2009,0,Diesel,Estate,2.0L,Manual,5,5,Euro 5,2889
Toyota Corolla,110846,2005,3,Diesel,Hatchback,2.0L,Manual,5,5,Euro 3,995
SEAT Ibiza,65000,2013,4,Petrol,Hatchback,1.4L,Manual,3,3,Euro 5,3350
Audi A3,85578,2008,5,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2499
Vauxhall Corsa,77502,2012,5,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,2100
Audi A3,130500,2011,2,Petrol,Hatchback,1.6L,Manual,3,5,Euro 5,1800
Peugeot 207,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,1299
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Peugeot 308,55301,2016,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9149
Vauxhall Astra,64000,2010,6,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2300
Vauxhall Corsa,96270,2008,9,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1500
Ford KA,45000,2005,0,Petrol,Hatchback,1.3L,Manual,3,5,Euro 3,1195
Vauxhall Astra,78000,2011,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,3250
Citroen DS3,54000,2014,0,Petrol,Hatchback,1.6L,Manual,3,5,Euro 5,5299
Volkswagen Passat,49000,2005,0,Diesel,Saloon,1.9L,Automatic,4,5,Euro 3,2250
Vauxhall Zafira,95000,2011,2,Petrol,MPV,1.8L,Manual,5,7,Euro 5,2495
Ford Fiesta,58000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 5,7699
Fiat Grande Punto,76850,2009,3,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,1999
Mercedes-Benz B Class,99000,2009,4,Diesel,MPV,2.0L,Manual,5,5,Euro 4,2299
Vauxhall Insignia,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,2950
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Vauxhall Insignia,147000,2016,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,3450
BMW 3 Series,114121,2006,0,Petrol,Coupe,3.0L,Automatic,2,4,Euro 4,4000
Renault Clio,82000,2009,2,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,1899
Peugeot 508,91000,2011,0,Diesel,Saloon,2.2L,Automatic,4,5,Euro 5,3995
Hyundai i20,69550,2016,0,Petrol,Coupe,1.2L,Manual,3,5,Euro 6,5799
Mercedes-Benz 260,57400,1991,0,Petrol,Saloon,2.6L,Automatic,4,null,null,2995
Saab 9-3,138000,2008,6,Petrol,Saloon,2.0L,Automatic,4,5,Euro 4,2000
Volkswagen Golf,77720,2006,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,2485
SKODA Fabia,84000,2008,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1995
Volkswagen Golf,59042,2006,3,Diesel,Hatchback,1.9L,Manual,5,5,Euro 4,2490
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
Honda Civic,78691,2018,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9198
